TrialType,BlockType,Response,RT,BlockTrial,Trial,Epoch,ans,bll,lf
Reward,MostlyReward,j,976,0,0,42,0.45,0.3,0.1
Reward,MostlyReward,f,1129,1,1,42,0.45,0.3,0.1
Punishment,MostlyReward,j,1099,2,2,42,0.45,0.3,0.1
Reward,MostlyReward,f,1054,3,3,42,0.45,0.3,0.1
Reward,MostlyReward,f,1174,4,4,42,0.45,0.3,0.1
Reward,MostlyReward,j,1053,5,5,42,0.45,0.3,0.1
Neutral,MostlyReward,f,1053,6,6,42,0.45,0.3,0.1
Reward,MostlyReward,f,1051,7,7,42,0.45,0.3,0.1
Reward,MostlyPunishment,j,1079,0,8,42,0.45,0.3,0.1
Punishment,MostlyPunishment,f,1045,1,9,42,0.45,0.3,0.1
Punishment,MostlyPunishment,j,1053,2,10,42,0.45,0.3,0.1
Punishment,MostlyPunishment,f,1046,3,11,42,0.45,0.3,0.1
Neutral,MostlyPunishment,f,1045,4,12,42,0.45,0.3,0.1
Punishment,MostlyPunishment,f,1036,5,13,42,0.45,0.3,0.1
Punishment,MostlyPunishment,f,1060,6,14,42,0.45,0.3,0.1
Punishment,MostlyPunishment,j,1041,7,15,42,0.45,0.3,0.1
Punishment,MostlyPunishment,j,1040,0,16,42,0.45,0.3,0.1
Punishment,MostlyPunishment,j,1051,1,17,42,0.45,0.3,0.1
Punishment,MostlyPunishment,f,1047,2,18,42,0.45,0.3,0.1
Neutral,MostlyPunishment,f,1044,3,19,42,0.45,0.3,0.1
Punishment,MostlyPunishment,j,1039,4,20,42,0.45,0.3,0.1
Neutral,MostlyPunishment,f,1039,5,21,42,0.45,0.3,0.1
Punishment,MostlyPunishment,j,1036,6,22,42,0.45,0.3,0.1
Punishment,MostlyPunishment,j,1041,7,23,42,0.45,0.3,0.1
Reward,MostlyReward,f,1041,0,24,42,0.45,0.3,0.1
Reward,MostlyReward,j,1079,1,25,42,0.45,0.3,0.1
Punishment,MostlyReward,j,1051,2,26,42,0.45,0.3,0.1
Reward,MostlyReward,j,1038,3,27,42,0.45,0.3,0.1
Punishment,MostlyReward,j,1041,4,28,42,0.45,0.3,0.1
Reward,MostlyReward,f,1051,5,29,42,0.45,0.3,0.1
Reward,MostlyReward,f,1047,6,30,42,0.45,0.3,0.1
Reward,MostlyReward,j,1033,7,31,42,0.45,0.3,0.1
Punishment,MostlyPunishment,f,1036,0,32,42,0.45,0.3,0.1
Punishment,MostlyPunishment,j,1038,1,33,42,0.45,0.3,0.1
Reward,MostlyPunishment,f,1038,2,34,42,0.45,0.3,0.1
Punishment,MostlyPunishment,f,1032,3,35,42,0.45,0.3,0.1
Reward,MostlyPunishment,f,1048,4,36,42,0.45,0.3,0.1
