TrialType,BlockType,Response,RT,BlockTrial,Trial,Epoch,alpha,egs,r
Reward,MostlyReward,j,645,0,0,0,0.2,0.05,1
Reward,MostlyReward,f,645,1,1,0,0.2,0.05,1
Punishment,MostlyReward,j,645,2,2,0,0.2,0.05,1
Reward,MostlyReward,f,645,3,3,0,0.2,0.05,1
Reward,MostlyReward,f,645,4,4,0,0.2,0.05,1
Reward,MostlyReward,j,645,5,5,0,0.2,0.05,1
Neutral,MostlyReward,f,645,6,6,0,0.2,0.05,1
Reward,MostlyReward,f,645,7,7,0,0.2,0.05,1
Reward,MostlyPunishment,j,645,0,8,0,0.2,0.05,1
Punishment,MostlyPunishment,j,645,1,9,0,0.2,0.05,1
Punishment,MostlyPunishment,j,645,2,10,0,0.2,0.05,1
Punishment,MostlyPunishment,j,645,3,11,0,0.2,0.05,1
Neutral,MostlyPunishment,f,645,4,12,0,0.2,0.05,1
Punishment,MostlyPunishment,f,645,5,13,0,0.2,0.05,1
Punishment,MostlyPunishment,j,645,6,14,0,0.2,0.05,1
Punishment,MostlyPunishment,j,645,7,15,0,0.2,0.05,1
Punishment,MostlyPunishment,j,645,0,16,0,0.2,0.05,1
Punishment,MostlyPunishment,j,645,1,17,0,0.2,0.05,1
Punishment,MostlyPunishment,j,645,2,18,0,0.2,0.05,1
Neutral,MostlyPunishment,j,645,3,19,0,0.2,0.05,1
Punishment,MostlyPunishment,j,645,4,20,0,0.2,0.05,1
Neutral,MostlyPunishment,f,645,5,21,0,0.2,0.05,1
Punishment,MostlyPunishment,f,645,6,22,0,0.2,0.05,1
Punishment,MostlyPunishment,j,645,7,23,0,0.2,0.05,1
Reward,MostlyReward,j,645,0,24,0,0.2,0.05,1
Reward,MostlyReward,j,645,1,25,0,0.2,0.05,1
Punishment,MostlyReward,j,645,2,26,0,0.2,0.05,1
Reward,MostlyReward,j,645,3,27,0,0.2,0.05,1
Punishment,MostlyReward,j,645,4,28,0,0.2,0.05,1
Reward,MostlyReward,j,645,5,29,0,0.2,0.05,1
Reward,MostlyReward,j,645,6,30,0,0.2,0.05,1
Reward,MostlyReward,j,645,7,31,0,0.2,0.05,1
Punishment,MostlyPunishment,j,645,0,32,0,0.2,0.05,1
Punishment,MostlyPunishment,j,645,1,33,0,0.2,0.05,1
Reward,MostlyPunishment,j,645,2,34,0,0.2,0.05,1
Punishment,MostlyPunishment,j,645,3,35,0,0.2,0.05,1
Reward,MostlyPunishment,j,645,4,36,0,0.2,0.05,1
Punishment,MostlyPunishment,j,645,5,37,0,0.2,0.05,1
Punishment,MostlyPunishment,j,645,6,38,0,0.2,0.05,1
Punishment,MostlyPunishment,j,645,7,39,0,0.2,0.05,1
Reward,MostlyReward,j,645,0,40,0,0.2,0.05,1
Neutral,MostlyReward,j,645,1,41,0,0.2,0.05,1
Reward,MostlyReward,j,645,2,42,0,0.2,0.05,1
Reward,MostlyReward,j,645,3,43,0,0.2,0.05,1
Reward,MostlyReward,j,645,4,44,0,0.2,0.05,1
