"","HCPID","ParamID.m1","ans","bll","lf","PSwitch.LL.m1","ParamID.m2","egs","alpha","r","PSwitch.LL.m2","best_model"
"1","151728_fnca",99,0.4,0.55,0.1,-4.68730309665751,103,0.5,0.15,1,-5.90264857005508,"m1"
"2","151627_fnca",100,0.4,0.6,0.1,-7.84927851054085,51,0.25,0.05,1,-7.12260132112297,"m2"
"3","151526_fnca",74,0.3,0.6,0.1,-5.52405255761833,102,0.5,0.1,1,-8.02357584500708,"m1"
"4","151223_fnca",67,0.3,0.25,0.1,-7.05179566053532,91,0.45,0.05,1,-11.2261431124395,"m1"
"5","150726_fnca",80,0.35,0.25,0.1,-8.94201927273333,31,0.15,0.05,1,-7.98696247182088,"m2"
"6","150625_fnca",118,0.5,0.2,0.1,-4.84367650965551,21,0.1,0.05,1,-3.91075029736637,"m2"
"7","150524_fnca",106,0.45,0.25,0.1,-3.99002687070122,102,0.5,0.1,1,-4.4971377519822,"m1"
"8","150523_fnca",100,0.4,0.6,0.1,-4.40228749015307,95,0.45,0.25,1,-5.41500999175626,"m1"
"9","150423_fnca",118,0.5,0.2,0.1,-4.42590009056234,43,0.2,0.15,1,-4.43587155474419,"m1"
"10","149741_fnca",122,0.5,0.4,0.1,-4.88750320622028,61,0.3,0.05,1,-4.07434407081226,"m2"
"11","149539_fnca",95,0.4,0.35,0.1,-7.06636179726963,51,0.25,0.05,1,-7.46863515023673,"m1"
"12","149337_fnca",89,0.35,0.7,0.1,-5.36491877596837,41,0.2,0.05,1,-5.55391155293979,"m1"
"13","148941_fnca",133,NA,0.3,0.1,-4.05145045189659,105,0.5,0.25,1,-4.96782688423444,"m1"
"14","148840_fnca",126,0.5,0.6,0.1,-5.72557862100834,91,0.45,0.05,1,-5.43447402251754,"m2"
"15","148840_fnca",126,0.5,0.6,0.1,-5.72557862100834,91,0.45,0.05,1,-5.43447402251754,"m2"
"16","148335_fnca",54,0.25,0.25,0.1,-4.24007891395615,53,0.25,0.15,1,-5.03515833845344,"m1"
"17","148032_fnca",98,0.4,0.5,0.1,-4.07288147162231,92,0.45,0.1,1,-4.78134875999016,"m1"
"18","147737_fnca",73,0.3,0.55,0.1,-5.74883137995039,61,0.3,0.05,1,-5.11669329653105,"m2"
"19","147030_fnca",33,0.15,0.5,0.1,-4.09406704592088,85,0.4,0.25,1,-6.96933963059697,"m1"
"20","146432_fnca",130,0.5,0.8,0.1,-4.08356145451204,91,0.45,0.05,1,-3.81925474563179,"m2"
"21","146331_fnca",108,0.45,0.35,0.1,-6.30881240447019,41,0.2,0.05,1,-5.10225817741495,"m2"
"22","145834_fnca",130,0.5,0.8,0.1,-5.33582240615839,71,0.35,0.05,1,-4.41137606690101,"m2"
"23","145531_fnca",12,0.4,0.4,0.1,-6.93184167912573,91,0.45,0.05,1,-7.07741437817881,"m1"
"24","144832_fnca",80,0.35,0.25,0.1,-5.19008200650751,73,0.45,0.15,1,-6.71396049222094,"m1"
"25","144226_fnca",98,0.4,0.5,0.1,-8.21207769155888,11,0.05,0.05,1,-6.68278360316169,"m2"
"26","143325_fnca",91,0.35,0.8,0.1,-3.99604454959306,73,0.35,0.15,1,-4.64759942727212,"m1"
"27","142828_fnca",92,0.4,0.2,0.1,-4.76815128065114,71,0.35,0.05,1,-4.74574092529903,"m2"
"28","142828_fnca",92,0.4,0.2,0.1,-4.76815128065114,71,0.35,0.05,1,-4.74574092529903,"m2"
"29","142424_fnca",128,0.5,0.7,0.1,-4.99449870103039,31,0.15,0.05,1,-5.0106232585906,"m1"
"30","141826_fnca",111,0.45,0.5,0.1,-4.4559696976016,91,0.45,0.05,1,-4.92730211283308,"m1"
"31","141422_fnca",121,0.5,0.35,0.1,-4.8542457638755,51,0.25,0.05,1,-4.47844753916136,"m2"
"32","140925_fnca",74,0.3,0.6,0.1,-4.1407625175231,94,0.45,0.2,1,-5.69304176943454,"m1"
"33","140824_fnca",54,0.25,0.25,0.1,-4.47187480376934,84,0.4,0.2,1,-8.07672532160947,"m1"
"34","140117_fnca",118,0.5,0.2,0.1,-6.14390537865297,41,0.2,0.05,1,-4.60450054771912,"m2"
"35","139637_fnca",115,0.45,0.7,0.1,-4.44988609703416,91,0.45,0.05,1,-4.7434371583542,"m1"
"36","139233_fnca",96,0.4,0.4,0.1,-5.4788168505065,21,0.1,0.05,1,-3.89628115786733,"m2"
"37","138534_fnca",82,0.35,0.35,0.1,-6.20994271712159,101,0.5,0.05,1,-7.41930900468083,"m1"
"38","138231_fnca",126,0.5,0.6,0.1,-6.01331834709156,11,0.05,0.05,1,-4.39452500589264,"m2"
"39","137936_fnca",54,0.25,0.25,0.1,-4.76337712381829,82,0.4,0.1,1,-5.93788103213289,"m1"
"40","137633_fnca",35,0.15,0.6,0.1,-3.96339916270558,74,0.35,0.2,1,-6.49220943113572,"m1"
"41","137633_fnca",35,0.15,0.6,0.1,-3.96339916270558,74,0.35,0.2,1,-6.49220943113572,"m1"
"42","137128_fnca",66,0.3,0.2,0.1,-4.22195564800148,93,0.45,0.15,1,-4.45606232056674,"m1"
"43","137027_fnca",102,0.4,0.7,0.1,-5.39340640683233,93,0.45,0.15,1,-8.8813998002721,"m1"
"44","136833_fnca",79,0.35,0.2,0.1,-9.60240974863519,51,0.25,0.05,1,-9.59423379196525,"m2"
"45","136227_fnca",115,0.45,0.7,0.1,-3.9291526510869,93,0.45,0.15,1,-4.33765388233539,"m1"
"46","135932_fnca",137,NA,0.5,0.1,-5.38015549364755,81,0.4,0.05,1,-6.4837117972575,"m1"
"47","135528_fnca",110,0.45,0.45,0.1,-5.24330603755431,31,0.15,0.05,1,-4.07933172806083,"m2"
"48","135225_fnca",117,0.45,0.8,0.1,-6.02868746261278,101,0.5,0.05,1,-6.73553270518687,"m1"
"49","134234_fnca",132,NA,0.25,0.1,-3.79046803964334,95,0.45,0.25,1,-5.75460659672181,"m1"
"50","133982_fnca",130,0.5,0.8,0.1,-4.53924814216107,41,0.2,0.05,1,-3.71302025028694,"m2"
"51","133827_fnca",121,0.5,0.35,0.1,-5.01796364488133,101,0.5,0.05,1,-4.32963022505098,"m2"
"52","133625_fnca",50,0.2,0.7,0.1,-3.93964307362814,94,0.45,0.2,1,-5.01582493421638,"m1"
"53","133019_fnca",87,0.35,0.6,0.1,-5.35798897116531,81,0.4,0.05,1,-6.59916040434532,"m1"
"54","132118_fnca",84,0.35,0.45,0.1,-9.46896038655166,71,0.35,0.05,1,-12.4615368681902,"m1"
"55","131924_fnca",113,0.45,0.6,0.1,-5.1597792738453,72,0.35,0.1,1,-5.91746825294744,"m1"
"56","131722_fnca",54,0.25,0.25,0.1,-3.89988292544264,95,0.45,0.25,1,-5.10655106937404,"m1"
"57","131217_fnca",122,0.5,0.4,0.1,-7.07864080918462,51,0.25,0.05,1,-6.92887114208221,"m2"
"58","130922_fnca",100,0.4,0.6,0.1,-3.71685102963707,73,0.35,0.15,1,-3.71065158129003,"m2"
"59","130316_fnca",110,0.45,0.45,0.1,-5.99808496204963,81,0.4,0.05,1,-9.92426415837772,"m1"
"60","130013_fnca",35,0.15,0.6,0.1,-4.69963661818893,104,0.5,0.2,1,-7.45735339849188,"m1"
"61","129028_fnca",122,0.5,0.4,0.1,-5.25381054662933,91,0.45,0.05,1,-5.81278933565901,"m1"
"62","128632_fnca",98,0.4,0.5,0.1,-4.61926741776513,83,0.4,0.15,1,-5.89927947088119,"m1"
"63","128329_fnca",106,0.45,0.25,0.1,-4.89004009053918,81,0.4,0.05,1,-4.24278769835799,"m2"
"64","128127_fnca",104,0.4,0.8,0.1,-13.0078811849277,101,0.5,0.05,1,-17.4250966269072,"m1"
"65","127933_fnca",54,0.25,0.25,0.1,-4.48467215658201,93,0.45,0.15,1,-6.20473150917128,"m1"
"66","127630_fnca",96,0.4,0.4,0.1,-4.28093013000644,102,0.5,0.1,1,-4.65962301376578,"m1"
"67","126628_fnca",7,0.05,0.5,0.1,-4.31170410995545,105,0.5,0.25,1,-5.72269107721295,"m1"
