"","HCPID","ParamID.m1","ans.m1","bll.m1","lf.m1","PSwitch.LL.m1","PSwitch.mean_MostlyPunishment.m1","PSwitch.mean_MostlyReward.m1","PSwitch.sd_MostlyPunishment.m1","PSwitch.sd_MostlyReward.m1","ParamID.m2","ans.m2","bll.m2","lf.m2","PSwitch.LL.m2","PSwitch.mean_MostlyPunishment.m2","PSwitch.mean_MostlyReward.m2","PSwitch.sd_MostlyPunishment.m2","PSwitch.sd_MostlyReward.m2","MostlyPunishment.subj","MostlyReward.subj","best_model","maxLL_diff"
"1","145531_fnca",129,0.5,0.75,0.1,-5.19190514700323,0.445,0.426785714285714,0.111887185105149,0.104327066564686,82,0.35,0.35,0.1,-17.6584134511544,0.287857142857143,0.306428571428571,0.217470262990823,0.224732012185902,0.625,0.6,"m1",12.4665083041512
"2","144832_fnca",82,0.35,0.35,0.1,-6.40141378816828,0.307857142857143,0.323571428571429,0.164122431215708,0.136408764761311,105,0.45,0.2,0.1,-17.4958301862018,0.373928571428571,0.379642857142857,0.13399099614177,0.143982900351058,0.2,0.425,"m1",11.0944163980335
"3","994273_fnca",119,0.5,0.25,0.1,-4.06813494079496,0.42,0.427857142857143,0.14761748016347,0.148834497418523,93,0.4,0.25,0.1,-5.9939131495204,0.332142857142857,0.329285714285714,0.189978242468478,0.182862438425506,0.397058823529412,0.563157894736842,"m1",1.92577820872544
"4","992774_fnca",103,0.4,0.75,0.1,-4.94839471978064,0.405,0.335,0.174458464784679,0.188415265755846,102,0.4,0.7,0.1,-12.3563496682542,0.365,0.346428571428571,0.205769803409057,0.191343536659175,0.5,0.275,"m1",7.40795494847359
"5","178950_fnca",123,0.5,0.45,0.1,-3.80193200717876,0.440714285714286,0.424285714285714,0.163043535604116,0.16240846587413,92,0.4,0.2,0.1,-4.5087260472245,0.321428571428571,0.301428571428571,0.195748225441335,0.198542167024112,0.4,0.475,"m1",0.70679404004574
"6","178849_fnca",79,0.35,0.2,0.1,-4.28917348210798,0.321428571428571,0.277142857142857,0.234138651134363,0.209812395128412,94,0.4,0.3,0.1,-7.61443873228662,0.326428571428571,0.360714285714286,0.209992215400824,0.201675871184208,0.375,0.175,"m1",3.32526525017863
"7","178748_fnca",122,0.5,0.4,0.1,-5.13131642558791,0.419285714285714,0.428571428571429,0.156560343609646,0.136711847009941,61,0.25,0.6,0.1,-7.51652065833802,0.174285714285714,0.162857142857143,0.226640899793907,0.211492977346504,0.675,0.605555555555556,"m1",2.38520423275011
"8","178142_fnca",110,0.45,0.45,0.1,-4.14745591516269,0.393571428571429,0.406428571428571,0.152974465207153,0.169352405950086,103,0.4,0.75,0.1,-6.05385116985573,0.365,0.391428571428571,0.198034122150771,0.203309764828948,0.325,0.55,"m1",1.90639525469304
"9","177746_fnca",59,0.25,0.5,0.1,-4.2061118112984,0.217857142857143,0.250714285714286,0.230468846512556,0.258396079583631,54,0.25,0.25,0.1,-7.12298069531869,0.136428571428571,0.133571428571429,0.209082852756871,0.203546492258208,0.125,0.375,"m1",2.91686888402029
"10","177645_fnca",100,0.4,0.6,0.1,-4.10774571131,0.331428571428571,0.346428571428571,0.185792762069242,0.188326824747875,83,0.35,0.4,0.1,-6.16759393139113,0.292142857142857,0.280714285714286,0.218220673609698,0.223095157715458,0.325,0.363157894736842,"m1",2.05984822008112
"11","176542_fnca",119,0.5,0.25,0.1,-3.74150740940294,0.441428571428571,0.434285714285714,0.130428761427762,0.137917515745902,52,0.2,0.8,0.1,-4.21312429426588,0.227857142857143,0.232857142857143,0.266079132883938,0.251633563399383,0.45,0.45,"m1",0.471616884862944
"12","175439_fnca",129,0.5,0.75,0.1,-4.72879472312007,0.465,0.442857142857143,0.137564115527571,0.16020733130722,71,0.3,0.45,0.1,-8.01746669008928,0.326428571428571,0.347142857142857,0.227485805608693,0.239420026705868,0.575,0.6,"m1",3.2886719669692
"13","175035_fnca",120,0.5,0.3,0.1,-8.70683037374604,0.431428571428571,0.430714285714286,0.137251536141717,0.16380809009023,101,0.4,0.65,0.1,-23.0032365994148,0.350714285714286,0.339285714285714,0.208833704260077,0.192022543536314,0.8,0.833333333333333,"m1",14.2964062256688
"14","173940_fnca",124,0.5,0.5,0.1,-5.83261595510785,0.437857142857143,0.435,0.113813254469597,0.150953170360267,31,0.15,0.4,0.1,-17.4408394110952,0.177142857142857,0.165,0.247957084059306,0.223547419048171,0.425,0.775,"m1",11.6082234559873
"15","173536_fnca",129,0.5,0.75,0.1,-5.69595198759973,0.367142857142857,0.388571428571429,0.150322435624987,0.170996783717266,93,0.4,0.25,0.1,-14.2308296178394,0.299285714285714,0.276428571428571,0.19305545359628,0.225970303563237,0.2,0.55,"m1",8.53487763023963
"16","173435_fnca",116,0.45,0.75,0.1,-4.53089935811491,0.413571428571429,0.425714285714286,0.159733808660913,0.169037010849896,83,0.35,0.4,0.1,-8.43755392627334,0.315714285714286,0.297142857142857,0.212744701943232,0.224656709747307,0.4,0.45,"m1",3.90665456815843
"17","173334_fnca",130,0.5,0.8,0.1,-11.9275111420217,0.426428571428571,0.409285714285714,0.132340684005582,0.154282542349427,21,0.1,0.55,0.1,-41.6766418697842,0.112857142857143,0.117857142857143,0.204764164789661,0.20840447209694,0.921052631578947,1,"m1",29.7491307277624
"18","173132_fnca",129,0.5,0.75,0.1,-4.07256663183287,0.419285714285714,0.447857142857143,0.153877077355412,0.162339530866532,71,0.3,0.45,0.1,-5.06140025992798,0.286428571428571,0.272142857142857,0.234859081163573,0.223081155634372,0.525,0.513157894736842,"m1",0.988833628095111
"19","172938_fnca",128,0.5,0.7,0.1,-4.15419847417164,0.439285714285714,0.439285714285714,0.143266541654071,0.149141999818811,41,0.2,0.25,0.1,-6.24038128784251,0.195714285714286,0.183571428571429,0.241498514891315,0.22896854169561,0.523529411764706,0.5,"m1",2.08618281367087
"20","172534_fnca",31,0.15,0.4,0.1,-3.90012075293042,0.0721428571428571,0.0771428571428571,0.172036398132437,0.180147563189501,95,0.4,0.35,0.1,-10.1479290773749,0.360714285714286,0.341428571428571,0.201417560644407,0.201664254319452,0.1,0,"m1",6.24780832444446
"21","172332_fnca",99,0.4,0.55,0.1,-4.20730185587791,0.280714285714286,0.307142857142857,0.207498187243378,0.217181598508089,104,0.4,0.8,0.1,-6.14070767770148,0.339285714285714,0.305,0.208154511620667,0.181134664721716,0.225,0.375,"m1",1.93340582182357
"22","172130_fnca",124,0.5,0.5,0.1,-4.23924034286081,0.442857142857143,0.439285714285714,0.151178901939072,0.150185571729949,61,0.25,0.6,0.1,-6.46680090342003,0.199285714285714,0.186428571428571,0.247024146147042,0.227174347341337,0.525,0.525,"m1",2.22756056055922
"23","172029_fnca",118,0.5,0.2,0.1,-4.55651679309713,0.400714285714286,0.426428571428571,0.158128699317007,0.161406833077986,102,0.4,0.7,0.1,-8.42163867356901,0.359285714285714,0.342142857142857,0.184014705694147,0.199970062315772,0.4,0.625,"m1",3.86512188047188
"24","171633_fnca",124,0.5,0.5,0.1,-4.17846498260318,0.400714285714286,0.442142857142857,0.131329741647628,0.134192402913069,93,0.4,0.25,0.1,-6.57273520921398,0.346428571428571,0.330714285714286,0.199077683827823,0.224003415589477,0.25,0.55,"m1",2.3942702266108
"25","171431_fnca",130,0.5,0.8,0.1,-5.23772354992108,0.44,0.409285714285714,0.156165793636253,0.126877815272528,102,0.4,0.7,0.1,-11.3657325916265,0.334285714285714,0.347142857142857,0.205955681172545,0.183395481243699,0.566666666666667,0.425,"m1",6.12800904170546
"26","170934_fnca",119,0.5,0.25,0.1,-4.57415041059922,0.438571428571429,0.409285714285714,0.158744816297649,0.16986194997452,41,0.2,0.25,0.1,-8.27126598560746,0.147857142857143,0.147857142857143,0.220158825331877,0.220277030151795,0.6,0.4,"m1",3.69711557500824
"27","169444_fnca",129,0.5,0.75,0.1,-4.39149421780453,0.453571428571429,0.428571428571429,0.157462238387867,0.148923668564555,102,0.4,0.7,0.1,-7.27339318264488,0.362857142857143,0.348571428571429,0.187788373272131,0.197015423384132,0.55,0.4,"m1",2.88189896484035
"28","169343_fnca",125,0.5,0.55,0.1,-4.3963070081564,0.430714285714286,0.422857142857143,0.113721731593254,0.124213477214428,71,0.3,0.45,0.1,-5.19575803525772,0.242857142857143,0.226428571428571,0.222509821299556,0.212652914332669,0.625,0.525,"m1",0.799451027101317
"29","169141_fnca",84,0.35,0.45,0.1,-5.02494206754668,0.278571428571429,0.307857142857143,0.204845509182497,0.215242035147166,74,0.3,0.6,0.1,-11.5550164056692,0.264285714285714,0.255714285714286,0.23734088468598,0.215419739825623,0.1,0.425,"m1",6.53007433812257
"30","168341_fnca",118,0.5,0.2,0.1,-4.16375592685009,0.407857142857143,0.367142857142857,0.168612993343825,0.172119598491639,22,0.1,0.6,0.1,-6.31234937474984,0.116428571428571,0.147857142857143,0.195855910537895,0.242549324730278,0.55,0.275,"m1",2.14859344789976
"31","168139_fnca",84,0.35,0.45,0.1,-4.86539125148116,0.279285714285714,0.277857142857143,0.223524128976945,0.223361030480982,84,0.35,0.45,0.1,-9.10997205737614,0.279285714285714,0.277857142857143,0.223524128976945,0.223361030480982,0.275,0.275,"m1",4.24458080589498
"32","167743_fnca",102,0.4,0.7,0.1,-4.32234635252456,0.38,0.39,0.181500754677095,0.203805936228109,93,0.4,0.25,0.1,-7.10838898227526,0.325,0.287142857142857,0.212731242238667,0.195609876174005,0.336842105263158,0.431578947368421,"m1",2.7860426297507
"33","167036_fnca",124,0.5,0.5,0.1,-4.53623732971213,0.444285714285714,0.444285714285714,0.151378505393083,0.130707873155967,103,0.4,0.75,0.1,-8.4283537947429,0.398571428571429,0.406428571428571,0.177527561199445,0.164201715120904,0.45,0.45,"m1",3.89211646503077
"34","166438_fnca",98,0.4,0.5,0.1,-3.89958608025324,0.328571428571429,0.290714285714286,0.204463927648101,0.194013110503037,94,0.4,0.3,0.1,-5.04888639666513,0.325,0.324285714285714,0.220659578829652,0.199546549680468,0.375,0.278947368421053,"m1",1.14930031641189
"35","165840_fnca",121,0.5,0.35,0.1,-4.79930586006557,0.440714285714286,0.436428571428571,0.154855133764252,0.145973658712457,91,0.35,0.8,0.1,-8.45204286057083,0.337142857142857,0.304285714285714,0.221238044618247,0.227969323582788,0.7,0.475,"m1",3.65273700050527
"36","165234_fnca",107,0.45,0.3,0.1,-4.08201953655883,0.438571428571429,0.432142857142857,0.169067807004363,0.169254004238759,41,0.2,0.25,0.1,-4.28049333667876,0.123571428571429,0.135,0.203341771126957,0.220782231703327,0.55,0.55,"m1",0.198473800119936
"37","165032_fnca",118,0.5,0.2,0.1,-7.01068473958584,0.426428571428571,0.437142857142857,0.149169923149781,0.150065930255916,102,0.4,0.7,0.1,-23.277256241839,0.373571428571429,0.332857142857143,0.209768967140464,0.202986859524269,0.305555555555556,0.736842105263158,"m1",16.2665715022531
"38","164939_fnca",126,0.5,0.6,0.1,-4.94521853715082,0.423571428571429,0.442857142857143,0.143948093865857,0.163583872876341,31,0.15,0.4,0.1,-10.5677333336048,0.153571428571429,0.142857142857143,0.248721219235431,0.231679847749852,0.475,0.5,"m1",5.62251479645398
"39","164131_fnca",120,0.5,0.3,0.1,-9.95546994108184,0.437857142857143,0.432142857142857,0.165295099153751,0.162826259155438,41,0.2,0.25,0.1,-39.3848256911048,0.205714285714286,0.208571428571429,0.263885521605714,0.256055361569046,0.773684210526316,1,"m1",29.429355750023
"40","164030_fnca",118,0.5,0.2,0.1,-4.7949760432555,0.427857142857143,0.433571428571429,0.121486437935471,0.157091497040151,103,0.4,0.75,0.1,-10.4918850128061,0.336428571428571,0.352142857142857,0.195627175183146,0.196545817115855,0.45,0.45,"m1",5.69690896955063
"41","163836_fnca",111,0.45,0.5,0.1,-4.57165269478705,0.447857142857143,0.397142857142857,0.156294089989346,0.175207379950649,42,0.2,0.3,0.1,-9.84853581220801,0.175714285714286,0.182857142857143,0.229970209757902,0.242294838653208,0.575,0.275,"m1",5.27688311742096
"42","163432_fnca",79,0.35,0.2,0.1,-3.76978082634677,0.295714285714286,0.307142857142857,0.200223739907361,0.187183023753512,104,0.4,0.8,0.1,-4.13506025893941,0.339285714285714,0.363571428571429,0.215768678099903,0.194773707588696,0.275,0.325,"m1",0.365279432592645
"43","163331_fnca",122,0.5,0.4,0.1,-5.13721776633341,0.448571428571429,0.462142857142857,0.124381016375031,0.144020409609217,101,0.4,0.65,0.1,-11.4104045475808,0.377142857142857,0.309285714285714,0.184262095351767,0.198076180448688,0.525,0.75,"m1",6.27318678124744
"44","163129_fnca",111,0.45,0.5,0.1,-4.5510268154762,0.349285714285714,0.371428571428571,0.161387478967071,0.187460949702794,84,0.35,0.45,0.1,-8.87030352254336,0.298571428571429,0.281428571428571,0.21775137230706,0.199259353304223,0.325,0.375,"m1",4.31927670706716
"45","162733_fnca",123,0.5,0.45,0.1,-5.47200504928433,0.429285714285714,0.426428571428571,0.137564115527571,0.152278611466627,93,0.4,0.25,0.1,-14.3059011423042,0.342857142857143,0.333571428571429,0.204463927648101,0.188376577924037,0.55,0.483333333333333,"m1",8.83389609301983
"46","162329_fnca",126,0.5,0.6,0.1,-5.41698334897071,0.433571428571429,0.417857142857143,0.147696811706465,0.142537908619377,31,0.15,0.4,0.1,-11.8006329930814,0.127142857142857,0.12,0.215998981903288,0.218586576963198,0.65,0.475,"m1",6.38364964411073
