"","HCPID","ParamID.m1","ans.m1","bll.m1","lf.m1","PSwitch.LL.m1","PSwitch.mean_Punishment.m1","PSwitch.mean_Reward.m1","PSwitch.sd_Punishment.m1","PSwitch.sd_Reward.m1","ParamID.m2","ans.m2","bll.m2","lf.m2","PSwitch.LL.m2","PSwitch.mean_Punishment.m2","PSwitch.mean_Reward.m2","PSwitch.sd_Punishment.m2","PSwitch.sd_Reward.m2","Punishment.subj","Reward.subj","best_model","maxLL_diff"
"1","145531_fnca",129,0.5,0.75,0.1,-5.26084097750859,0.4492,0.4208,0.112573604039893,0.120201191885157,41,0.2,0.25,0.1,-18.487598072327,0.196,0.2016,0.239625558242992,0.253492824839083,0.45,0.775,"m1",13.2267570948184
"2","144832_fnca",89,0.35,0.7,0.1,-6.42403409526379,0.3048,0.3224,0.16623366883114,0.166041057130642,105,0.45,0.2,0.1,-15.6910718969841,0.3704,0.3856,0.131629659829914,0.149122056568108,0.3,0.325,"m1",9.26703780172029
"3","994273_fnca",125,0.5,0.55,0.1,-4.057349741865,0.4456,0.4344,0.163234650183128,0.175942476684969,101,0.4,0.65,0.1,-5.92127383792124,0.3584,0.3608,0.20523117875872,0.199344231040127,0.447058823529412,0.513157894736842,"m1",1.86392409605623
"4","992774_fnca",77,0.3,0.75,0.1,-5.06738150876993,0.3464,0.3664,0.222433296582529,0.225892876905702,102,0.4,0.7,0.1,-10.4380981329521,0.3664,0.344,0.200791901617326,0.188311509180389,0.2,0.575,"m1",5.37071662418216
"5","178950_fnca",123,0.5,0.45,0.1,-3.79391949628951,0.4296,0.4256,0.162392319110611,0.174591768747229,82,0.35,0.35,0.1,-4.84958345670387,0.3296,0.3208,0.229079435469669,0.221974810117118,0.4,0.475,"m1",1.05566396041436
"6","178849_fnca",44,0.2,0.4,0.1,-4.28717522951187,0.2616,0.2856,0.247793198832726,0.261987380908131,94,0.4,0.3,0.1,-7.55192544154352,0.3496,0.3496,0.206001386957883,0.207737668167115,0.175,0.375,"m1",3.26475021203166
"7","178748_fnca",126,0.5,0.6,0.1,-4.98638750981701,0.4504,0.4104,0.153502775352162,0.140159675705524,51,0.2,0.75,0.1,-5.81799105989502,0.2208,0.2032,0.25301318833094,0.242549721391179,0.675,0.605555555555556,"m1",0.83160355007801
"8","178142_fnca",124,0.5,0.5,0.1,-4.16288438065306,0.4216,0.4024,0.152735064736294,0.156369003661603,103,0.4,0.75,0.1,-6.55599989148058,0.3792,0.396,0.192638394460731,0.211080795054444,0.425,0.45,"m1",2.39311551082752
"9","177746_fnca",63,0.25,0.7,0.1,-4.25189780419541,0.2736,0.2368,0.261781650718803,0.217269136213638,64,0.25,0.75,0.1,-6.64441651398218,0.2056,0.1976,0.23407795666384,0.232454164891727,0.325,0.175,"m1",2.39251870978677
"10","177645_fnca",84,0.35,0.45,0.1,-4.10086460547238,0.316,0.3272,0.22282050980966,0.230518846898708,104,0.4,0.8,0.1,-6.3781079460752,0.3344,0.3352,0.195251381661735,0.195607270012218,0.225,0.463157894736842,"m1",2.27724334060282
"11","176542_fnca",125,0.5,0.55,0.1,-3.7523879149572,0.4416,0.4272,0.159173374863091,0.144886162210199,92,0.4,0.2,0.1,-4.27005666905057,0.2688,0.2712,0.187100758623665,0.197666385609693,0.45,0.45,"m1",0.517668754093375
"12","175439_fnca",129,0.5,0.75,0.1,-4.95618496544315,0.4672,0.4248,0.144660616193735,0.158542339674258,71,0.3,0.45,0.1,-7.84844449328851,0.3352,0.3376,0.236972744493229,0.236872134628084,0.475,0.7,"m1",2.89225952784536
"13","175035_fnca",120,0.5,0.3,0.1,-8.63585620200566,0.4384,0.4072,0.140891621395993,0.160954296973662,11,0.05,0.7,0.1,-16.4436857826503,0.1824,0.1856,0.262504110754985,0.267017999851879,1,0.633333333333333,"m1",7.80782958064467
"14","173940_fnca",121,0.5,0.35,0.1,-5.79718245763876,0.4584,0.4104,0.149930051718004,0.158525862178989,51,0.2,0.75,0.1,-12.013252859647,0.1968,0.192,0.238202794753906,0.232817700428153,0.725,0.475,"m1",6.21607040200821
"15","173536_fnca",126,0.5,0.6,0.1,-5.61771504880251,0.4192,0.3824,0.151883951403292,0.159828479493308,104,0.4,0.8,0.1,-10.6041678755087,0.3696,0.3624,0.195217931595247,0.204186389440269,0.6,0.15,"m1",4.98645282670624
"16","173435_fnca",120,0.5,0.3,0.1,-4.2704736023611,0.424,0.3704,0.167380783038592,0.167733510701484,12,0.05,0.75,0.1,-4.50188203640504,0.1824,0.2,0.248838608461839,0.272733704315011,0.6,0.25,"m1",0.231408434043946
"17","173334_fnca",118,0.5,0.2,0.1,-11.9508652119024,0.4096,0.4128,0.159091297110579,0.170366232162434,101,0.4,0.65,0.1,-36.8695140689863,0.364,0.3512,0.191620372995511,0.197831509427717,0.921052631578947,1,"m1",24.9186488570839
"18","173132_fnca",109,0.45,0.4,0.1,-4.0412879397287,0.4448,0.4256,0.167505589306684,0.174029788676935,61,0.25,0.6,0.1,-4.5635320691261,0.236,0.232,0.244348362894003,0.244314952302079,0.575,0.463157894736842,"m1",0.522244129397392
"19","172938_fnca",128,0.5,0.7,0.1,-4.1212317009477,0.4552,0.4312,0.138302242223623,0.145302499381568,81,0.35,0.3,0.1,-5.61185534170391,0.3096,0.2728,0.224362680151798,0.214524057924913,0.523529411764706,0.5,"m1",1.49062364075621
"20","172534_fnca",31,0.15,0.4,0.1,-3.89419513303272,0.0736,0.0728,0.179133515363627,0.171559949657636,95,0.4,0.35,0.1,-6.83565421725438,0.356,0.3344,0.198154752964568,0.1980739915346,0.1,0,"m1",2.94145908422166
"21","172332_fnca",103,0.4,0.75,0.1,-4.21954141657954,0.2784,0.2984,0.213802884614281,0.233687039976677,104,0.4,0.8,0.1,-6.89743917185999,0.344,0.3024,0.207452969836244,0.178366282161862,0.225,0.375,"m1",2.67789775528045
"22","172130_fnca",124,0.5,0.5,0.1,-4.29089391653292,0.4376,0.4432,0.155950803336259,0.151797932281365,101,0.4,0.65,0.1,-6.22808350054342,0.3384,0.3288,0.198477470062597,0.209066340413462,0.525,0.525,"m1",1.9371895840105
"23","172029_fnca",121,0.5,0.35,0.1,-4.4929812590181,0.4488,0.4344,0.147532632156484,0.168742770064319,52,0.2,0.8,0.1,-7.5829651354194,0.2072,0.2248,0.254229849401148,0.272959890901239,0.6,0.425,"m1",3.0899838764013
"24","171633_fnca",118,0.5,0.2,0.1,-4.27438038682082,0.4272,0.3664,0.150197692854369,0.147769263048987,63,0.25,0.7,0.1,-6.32437416140107,0.2408,0.2296,0.23897604695954,0.237649716505411,0.45,0.35,"m1",2.04999377458025
"25","171431_fnca",119,0.5,0.25,0.1,-5.32524122701125,0.432,0.4328,0.149229312653721,0.160344527025211,81,0.35,0.3,0.1,-11.2727237063864,0.3592,0.3248,0.229781084815038,0.218288706037838,0.266666666666667,0.725,"m1",5.9474824793752
"26","170934_fnca",120,0.5,0.3,0.1,-4.52641324195913,0.42,0.4496,0.131117644635243,0.146482011154396,102,0.4,0.7,0.1,-8.18375413281869,0.3544,0.2984,0.192090114906775,0.191101639801164,0.4,0.6,"m1",3.65734089085956
