,TrialType,BlockType,Response,RT
0,win,mostly_reward,l,0.645
1,win,mostly_reward,m,0.835
2,lose,mostly_reward,m,0.585
3,win,mostly_reward,l,0.645
4,win,mostly_reward,l,0.495
5,win,mostly_reward,l,0.495
6,win,mostly_reward,m,0.835
7,neutral,mostly_reward,l,0.645
8,win,mostly_reward,m,0.835
9,lose,mostly_reward,m,0.585
10,win,mostly_reward,l,0.645
11,lose,mostly_reward,l,0.495
12,neutral,mostly_reward,m,0.835
13,neutral,mostly_reward,l,0.645
14,win,mostly_reward,m,0.835
15,win,mostly_reward,m,0.585
16,win,mostly_reward,m,0.585
17,win,mostly_reward,l,0.645
18,lose,mostly_reward,m,0.835
19,neutral,mostly_reward,l,0.645
20,win,mostly_reward,m,0.835
21,win,mostly_reward,l,0.645
22,win,mostly_reward,m,0.835
23,win,mostly_reward,m,0.585
24,win,mostly_reward,l,0.645
25,lose,mostly_reward,l,0.495
26,win,mostly_reward,m,0.835
27,lose,mostly_reward,m,0.585
28,neutral,mostly_reward,m,0.585
29,neutral,mostly_reward,l,0.645
30,win,mostly_reward,m,0.835
31,win,mostly_reward,m,0.585
32,lose,mostly_punish,l,0.645
33,neutral,mostly_punish,m,0.835
34,lose,mostly_punish,m,0.585
35,lose,mostly_punish,m,0.585
36,win,mostly_punish,l,0.645
37,lose,mostly_punish,l,0.495
38,lose,mostly_punish,m,0.835
39,lose,mostly_punish,l,0.645
40,lose,mostly_punish,l,0.495
41,lose,mostly_punish,m,0.835
42,lose,mostly_punish,l,0.645
43,win,mostly_punish,l,0.495
44,neutral,mostly_punish,l,0.495
45,lose,mostly_punish,l,0.495
46,win,mostly_punish,m,0.835
47,neutral,mostly_punish,m,0.585
48,win,mostly_punish,m,0.585
49,lose,mostly_punish,m,0.585
50,neutral,mostly_punish,m,0.585
51,lose,mostly_punish,m,0.585
52,lose,mostly_punish,m,0.585
53,lose,mostly_punish,l,0.645
54,lose,mostly_punish,m,0.835
55,lose,mostly_punish,l,0.645
56,lose,mostly_punish,m,0.835
57,lose,mostly_punish,l,0.645
58,neutral,mostly_punish,l,0.495
59,win,mostly_punish,m,0.835
60,lose,mostly_punish,m,0.585
61,lose,mostly_punish,m,0.585
62,neutral,mostly_punish,m,0.585
63,win,mostly_punish,m,0.585
