,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
1,100307_fnca,1,1,Reward,2,5,2.0,0,380,27,1,0,1,0,3.0,,1.0,,MostlyReward,MostlyReward
2,100307_fnca,2,1,Reward,3,5,3.0,0,336,13,1,1,0,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
3,100307_fnca,3,1,Punishment,4,5,3.0,0,260,14,2,2,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
4,100307_fnca,4,1,Reward,5,5,3.0,0,231,13,3,3,0,0,2.0,3.0,1.0,Punishment,MostlyReward,MostlyReward
5,100307_fnca,5,1,Reward,6,5,2.0,0,292,13,1,0,1,0,3.0,3.0,1.0,Reward,MostlyReward,MostlyReward
6,100307_fnca,6,1,Reward,7,5,3.0,0,351,14,1,1,0,0,2.0,2.0,1.0,Reward,MostlyReward,MostlyReward
7,100307_fnca,7,1,Neutral,8,5,2.0,0,309,14,1,0,1,0,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
8,100307_fnca,8,1,Reward,9,5,2.0,0,286,13,2,0,2,0,,2.0,,Neutral,MostlyReward,MostlyReward
9,100307_fnca,10,1,Reward,10,5,2.0,0,708,13,3,0,3,0,3.0,,1.0,,MostlyPunishment,MostlyPunishment
10,100307_fnca,11,1,Punishment,11,5,3.0,0,252,13,1,1,0,0,3.0,2.0,0.0,Reward,MostlyPunishment,MostlyPunishment
11,100307_fnca,12,1,Punishment,12,5,3.0,0,342,13,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
12,100307_fnca,13,1,Punishment,13,5,3.0,0,280,14,3,3,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
13,100307_fnca,14,1,Neutral,14,5,3.0,0,455,13,4,4,0,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
14,100307_fnca,15,1,Punishment,15,5,2.0,0,265,13,1,0,1,0,2.0,3.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
15,100307_fnca,16,1,Punishment,16,5,2.0,0,364,13,2,0,2,0,3.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
16,100307_fnca,17,1,Punishment,17,5,3.0,0,273,13,1,1,0,0,,2.0,,Punishment,MostlyPunishment,MostlyPunishment
17,100307_fnca,19,1,Punishment,18,5,2.0,0,693,13,1,0,1,0,2.0,,0.0,,MostlyPunishment,MostlyPunishment
18,100307_fnca,20,1,Punishment,19,5,2.0,0,297,13,2,0,2,0,3.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
