,HCPID,Trial,TrialType,BlockType
257,101309_fnca,1,Reward,MostlyReward
258,101309_fnca,2,Reward,MostlyReward
259,101309_fnca,3,Punishment,MostlyReward
260,101309_fnca,4,Reward,MostlyReward
261,101309_fnca,5,Reward,MostlyReward
262,101309_fnca,6,Reward,MostlyReward
263,101309_fnca,7,Neutral,MostlyReward
264,101309_fnca,8,Reward,MostlyReward
265,101309_fnca,10,Reward,MostlyPunishment
266,101309_fnca,11,Punishment,MostlyPunishment
267,101309_fnca,12,Punishment,MostlyPunishment
268,101309_fnca,13,Punishment,MostlyPunishment
269,101309_fnca,14,Neutral,MostlyPunishment
270,101309_fnca,15,Punishment,MostlyPunishment
271,101309_fnca,16,Punishment,MostlyPunishment
272,101309_fnca,17,Punishment,MostlyPunishment
273,101309_fnca,19,Punishment,MostlyPunishment
274,101309_fnca,20,Punishment,MostlyPunishment
275,101309_fnca,21,Punishment,MostlyPunishment
276,101309_fnca,22,Neutral,MostlyPunishment
277,101309_fnca,23,Punishment,MostlyPunishment
278,101309_fnca,24,Neutral,MostlyPunishment
279,101309_fnca,25,Punishment,MostlyPunishment
280,101309_fnca,26,Punishment,MostlyPunishment
281,101309_fnca,28,Reward,MostlyReward
282,101309_fnca,29,Reward,MostlyReward
283,101309_fnca,30,Punishment,MostlyReward
284,101309_fnca,31,Reward,MostlyReward
285,101309_fnca,32,Punishment,MostlyReward
286,101309_fnca,33,Reward,MostlyReward
287,101309_fnca,34,Reward,MostlyReward
288,101309_fnca,35,Reward,MostlyReward
289,101309_fnca,1,Punishment,MostlyPunishment
290,101309_fnca,2,Punishment,MostlyPunishment
291,101309_fnca,3,Reward,MostlyPunishment
292,101309_fnca,4,Punishment,MostlyPunishment
293,101309_fnca,5,Reward,MostlyPunishment
294,101309_fnca,6,Punishment,MostlyPunishment
295,101309_fnca,7,Punishment,MostlyPunishment
296,101309_fnca,8,Punishment,MostlyPunishment
297,101309_fnca,10,Reward,MostlyReward
298,101309_fnca,11,Neutral,MostlyReward
299,101309_fnca,12,Reward,MostlyReward
300,101309_fnca,13,Reward,MostlyReward
301,101309_fnca,14,Reward,MostlyReward
302,101309_fnca,15,Reward,MostlyReward
303,101309_fnca,16,Neutral,MostlyReward
304,101309_fnca,17,Reward,MostlyReward
305,101309_fnca,19,Punishment,MostlyPunishment
306,101309_fnca,20,Punishment,MostlyPunishment
307,101309_fnca,21,Reward,MostlyPunishment
308,101309_fnca,22,Punishment,MostlyPunishment
309,101309_fnca,23,Reward,MostlyPunishment
310,101309_fnca,24,Punishment,MostlyPunishment
311,101309_fnca,25,Punishment,MostlyPunishment
312,101309_fnca,26,Punishment,MostlyPunishment
313,101309_fnca,28,Reward,MostlyReward
314,101309_fnca,29,Reward,MostlyReward
315,101309_fnca,30,Punishment,MostlyReward
316,101309_fnca,31,Reward,MostlyReward
317,101309_fnca,32,Punishment,MostlyReward
318,101309_fnca,33,Reward,MostlyReward
319,101309_fnca,34,Reward,MostlyReward
320,101309_fnca,35,Reward,MostlyReward
